web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||
"1556765678-3467,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Elizabeth Davidson,A Series of Unfortunate Events,30-Dec-12,""This was a good,well-written book, even though I have read it 10 times. Also, I like how the author disguises his name. You can tell Lemony S. is not his real name."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews"||||||||||||||||||
"1556765667-3420,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ray,""Lemony snicket fan owensboro, ky"",31-Dec-13,This book was a great book for me. You never wanna stop reading because you want to figure out things that happen to the bauldadairs I do not want to spoil this book but it has crows hot Air balloons detectives and much more. I like the part were they figure out a code!!!!it is so cool. I would recommend this book to mystery book lovers. Somebody who thinks having a happy ending for everything is sometimes boring. And isn't afraid of a little adventure. Hope you enjoy the book like I did!!!,5.0 out of 5 stars,,"||||||||||||||||||
1556765683-3484|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|WS Moose|The vile village|2-Feb-15|It was a great book full of suspense I could never put it down just like every snicket book I loved it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||||||||||
1556765696-3551|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Erica Robyn|Five Stars|5-Jun-16|This one is definitely one of my favorites in the series!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews||||||||||
1556765680-3474|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|legalwitt|The best.|19-Aug-14|This series never disappoints!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
1556765685-3503|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|TC|Great condition...|24-May-10|Received in great condition within the anticpated delivery time.  Received periodic emails providing updates as to the delivery date.  Great job Amazon!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
"1556765669-3429,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Cheryl A. Kingston-shirley,Five Stars,26-Oct-17,""thank you, I am also looking for the SCHOLASTIC series of unfortunate events books 11, 12, and 13"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"||||||||||||||||||
1556765676-3461|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|SF|Five stars worthy|5-Dec-12|Awesome Book! I loved it. It was great! Can't wait to start reading the next book! Hope you enjoy it too. I hope the Baudelaires finds happy ending soon.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||
"1556765694-3539,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Hallie Cantor,My opinion of The Vile Village and other books by L.S.,6-May-01,""I am an avid reader of almost 12 years. I stumbled across The Bad Beginning by Lemony Snicket (I hate that pen name though) and I loved it. I read up to the 7th book and cannot wait for the 8th. These books were  refreshingly short and entertaining.  A Series of Unfortunate Events tells the long and sad epic, throughout many books, of Violet, Klaus and Sunny Baudelaire whose parents have perished in a house fire and who are left alone with the evil Count Olaf. Each are well developed and unique characters whose abilities come in useful at every turn only to be squashed by the evil doings of Olaf and his troupe. The books get better and better as you go along and meet characters like:"||||||||||||||||||
~Isadora and Duncan Quagmire| two triplets who are also journalists and poets|||||||||||||||||
~Esme Squalor| the fancy pinstriped financial advisor|||||||||||||||||
~Vice Principal Nero| the self-proclaimed genius violinist|||||||||||||||||
~Sir| whose head is invisible due to a constant cloud of smoke|||||||||||||||||
~and many more!||||||||||||||||||
"  Please, try this series out and you will love it.  I thouroughly recommend any book in the series to readers of Harry Potter and other magical stories who want a short and simple laugh-out-loud adventure."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||||||||
"1556765672-3441,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jerry Hart,""""""It's cool to love this book."""""",2-Aug-09,""Funny, cute and imaginative. If only the books weren't so expensive, they'd be perfect. That aside, I love this series. I'm liking each book more and more, with Books 6 and 7 (this one) being my favorites so far."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews"||||||||||||||||||
"1556765702-3580,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jeffrey Niedermaier,The Vile Village VFD By Lemony Snicket,13-Jun-01,""My son (age 9) and I have read every book in this wonderful series and they just keep getting better.  As JK Rowling can't crank out Harry Potter's adventures quickly enough, these books are great fun and are great vocabulary builders."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"||||||||||||||||||
"1556765691-3529,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Holliewants2gocamping,I've got to say.....,20-Jul-14,""This was my favorite book of this series so far. I'm on book 10, which is called The Slippery Slope. Lemony Snicket is an amazing author, and the world's bookcases need his whole Series of Unfortunate Events. I recommend this particular book for people who have already read most of the series, because it does go back into things that happened in the other books. I've read the whole series so far, and Lemony's fantastic wording and storyline will convince you to read all of the books in Series of Unfortunate Events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||||||||
1556765680-3480|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Marvin Marchael|Five Stars|6-Feb-15|My daughter loves this collection and spends hours just listening to the characters and following along with the book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
1556765685-3500|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Gerd-Elise Hjelseth|Five Stars|31-Mar-15|??|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
"1556765669-3424,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,The Ladybug's Spot Bookstore,Stupendous!,16-Mar-15,""Stupendous! A word which here means: One of the rare books which, when once read, you can't wait to share with your own daughter!  She loved it as I did."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"||||||||||||||||||
1556765680-3482|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Madelyn|Very good|6-Dec-14|A great book to read. Was very surprised to finish the book because I just kept reading it till 10 every night. I give it 5 stars.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
1556765680-3479|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Emory Marcus|Five Stars|15-Aug-15|Came in excellent condition.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
"1556765689-3523,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,rzaster,A Great Edition to a Great Series,19-May-01,""In """"The Vile Village,"""" Snicket is probably at his best since the beginning of the series. In this novel, Sunny, Klaus, and Violet are put off to the village called V.F.D. The orphans go under the program, """"It takes a village to raise a child."""" Hector, the handyman, is their main caretaker. When they get to the village, they have hopes that the mystery of V.F.D. will be solved. Unfortunately, the village and the mystery are not the same. Fortunately, though, the Quagmire triplets are somewhere in the village. The treacherous villain Olaf returns too, but this time doesn't play as big a role as in other books. So, """"The Vile Village"""" is definitely one of the best of the series, and I can't wait to read the six remaing volumes to come. Get this novel if you're a true fan of the series or a minimal series. Somebody that has never even read the prior books can even enjoy this. Buy and enjoy."||||||||||||||||||
"Happy Reading!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||||||||
"1556765691-3527,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,M. Grant,""Anything BUT Vile, This Series Keeps Getting Better!"",13-May-07,""I really dig the Series of Unfortunate Events books.  The appeal lies somewhere between: because many people just """"don't get it"""" and the fact that the stories are morbidly fun and fly by in a breeze."||||||||||||||||||
||||||||||||||||||
Vile Village (Book 7 of 13) follows the strong pacing of the series best books (Reptile Room and Austere Academy).  The Beaudelaire Orphans find themselves in a unique surrounding| with a somewhat helpful guardian...BUT...then everything unravels around them.|||||||||||||||||
||||||||||||||||||
"Count Olaf (Omar) is especially humorous in this story and the added elements that help tie up loose ends from previous books, while creating new ones for the remainder of the series (including the connecting threads to """"author"""" Lemony Snicket) make the reading doubly rewarding for fans of the series."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||||||||
1556765676-3462|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|zachattack|reading the series|16-Jan-14|love my kindle! chose the wrong book in the series to start and it was returned so easily and then purchased the correct number. reading books could not be any easier with the click of buttons!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||
1556765680-3481|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Margaret S.|Great book series for boys who like dark humor.|24-Dec-13|My 3rd grade son is loving this series of books!  The story line is a bit dark but this tale of unfortunate siblings has got him hooked.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
"1556765687-3513,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,hiphopgirl_1000,""""""It takes a village to raise an orphan!"""""",28-Oct-01,""THE VILE VILLAGE is the seventh book in the Series of Unfortunate Events which focuses on the lives of Violet, Klaus, and Sunny Baudalaire. In this new chapter of their lives the three Baudalaire orphans find themselves unwanted by any of their relatives because of their recent """"unfortunate events"""". However the get the good news or you can consider it bad news that the village of V.F.D whose motto is """"IT TAKES A VILLAGE TO RAISE A CHILD"""" wants to adopt them. The orphans are excited as they embark on their new journey as they very well know that this village might hold the secrets to the Quagmire triplet's secret about V.F.D."||||||||||||||||||
However when they arrive there they find thousands of crows to greet them and thounsands of ridiculous rules they have to follow. Plus the three of them have to do all the chores they village elders require them. It seems the only person who actrully accepts the orphans to care for is the village keeper named Hector. However he isn't much help because he gets skittish around the village elder for their stupid rules. The good thing is that he keeps a secret inventing studio and a secret library( which by the way are against the rules in V.F.D.) for Violet and Klaus to enjoy. The plot thickens when they kids find couplets written by Isable Quagmire under the tree next to Hecoter's shack and then the three Baudlaires get the news that Count Olaf(Known in V.F.D. as Count Omar) has been captured. However as all the unfortunate things are for them this one can also be counted for this Count Olaf is false. Before the kids can get information about him he is mysterouisly murdered and guess what? The detective who comes to review the case is no other than Count Olaf in one of his new ridiculous diguises. And he accuses the kids of murder! Can the Baudlaires find a solution to their neverending series of unfortunate events?||||||||||||||||||
"This 7th book was totally genious by Lemony Snicket! It is one of my favorites. The 8th book which I have already read can be said to be even better. However let me warn you if you hate bad and unfortunate endings don't read these books!!!! Listen to the author's advice!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"||||||||||||||||||
"1556765689-3520,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Stephen J.K,V.F.D,24-Jun-05,""Mr. Poe in charge of the orphans' affairs, is probably running out of guardians. 'It takes a village to raise a child' is the saying. They eventually pick V.F.D( Village of Fowl Devotees). Violet, Klaus and Sunny ofcourse have no idea what it meant. They jump at anything with the initials V.F.D, trying to find the answer. Again luck runs out. But that's what keeps this series going. It just keeps getting more hectic. But there time at V.F.D is short lived and more woeful and terrible. The miserable events the Baudelaires go through just follow them."||||||||||||||||||
||||||||||||||||||
From the departing bus| the Baudelaires push their way across the flat|dusty and dry land and into the town of V.F.D. With strict rules the Council of Elders rule the town. But basically| the town is over swept by migrating crows. Hector| the handyman is their new guardian. Skittish in front of the Council of Elders| Hector's specialty is mexican food. By night| the crows bunch around Hector's tree| leaving Isadora's poems in the morning. It only takes a smart Klaus to figure out the riddle to Isadora and Duncan's whereabouts. Also| we see Jacques Snicket. Before he is murdered| people tell he should be burned at the stake because he is Count Omar or Olaf. Tattoo of an eye on his ankle| Jacques is accused of being a villain. But the inclusion of this brief character just brings in more unanswered questions to the Snicket mystery and V.F.D. Suddenly| after staying in a prison cell overnight| Jacques is found murdered. Detective Dupin comes to investigate. Is Dupin Olaf? And after introducing mob pychcology| Dupin gets what he wanted. The Baudelaires in the most dirtiest| yuckiest| grottiest| slimy and damp cell. Soon| two of the Baudelaires would be burn at the stake| leaving one of Baudelaires. But Violet's inventing skills help to break out and cleverly Klaus finds the Quagmires in a crow shaped fountain.
||||||||||||||||||
Suddenly| everbody is on a hunt to find the Baudelaires. Every V.F.D citizen is after them and the Quagmires. Will Hector's invention(which Violet improved) be able to get the five  out of this horible| horible mess. You'll see.||||||||||||||||
||||||||||||||||||
Again Snicket provides humour and an exciting story. Also| you'll find out how Isadora sent those poems. Gruelling chores and an angry mob| Snicket excites readers| though this story has a turn. Convicted of murder. The Baudelaires find another  person dead only because of Olaf| and the end result is a stupid one. Why can't people be more sensible. Olaf continues to trick people when he ain't that smart and skillful. Esme also has a disguise. The last seen where Esme shoots the harpoon at the invention and Hector remarks how he lost the food supply etc. is funny. I recommend you buy this book. It sure is a good one.||||||||||||||
||||||||||||||||||
"And what is V.F.D?"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||||||||
"1556765694-3534,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Cupcake Lover,V.F.D.,6-Jan-15,""The Baudelaire orphans are once again in a new place, called V.F.D., and are being brought up by a jubilant man named Hector. He has a secret inventing studio and a secret library, too, which are supposed to be banned because of very specific rules. Every morning, the orphans find a poem written by Isadora Quagmire, and they get more and more suspicious. What will happen once all the couplets are pieced together, and who is Count Olaf disguised as this time? Read the Vile Village to find out... This book, once again, will make you want to hide in fear... Mwahaha! ??"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||||||||
1556765669-3426|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amber  rose|Five Stars|21-Jul-17|My son loves the books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews||||||||||
1556765683-3493|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Katie Auslen|It was very sad|1-Aug-13|I hope that the Baudelaire children are not being harmed in the next six books of this dreadful but interesting series|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||||||||||
1556765672-3435|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Golfer Dave|A well loved book in my class|14-Sep-15|A well loved book in my class.  Had to buy a replacement for the original since it was read so much!  Thanks.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||||||||||
1556765676-3460|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jane W.|Fast shipping. Book is just as described in description ...|23-Jul-15|Fast shipping. Book is  just as described in description.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||
1556765698-3556|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|J. Cohen|interesting and mysterious|15-Jan-02|I think it's mysterious because they never tell you the secret of V.F.D. I kept reading the book because I thought it might tell me the secret. I was sort of disappointed that they never told me. I recommend this book because it's very interesting and slightly confusing and it has plenty of surprises.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||||||||
"1556765674-3446,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Tina,""great book for kids, adolescents, teens!"",10-Nov-12,i began reading a series of unfortunate events at about 11 and a half years. i read them till i was like 16 or 17. great books for a wide range of ages!,5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"||||||||||||||||||
"1556765667-3419,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kaley Quinn,Dark but fun,23-Aug-17,""I'm enjoying this series so far, it's very dark but also funny and I want to see what happens."",5.0 out of 5 stars,,"||||||||||||||||||
1556765674-3448|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|:P|Good|1-Feb-14|It's a good book. I really like this series it's amazing. I recommend this book highly. It's a good book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||||||||
"1556765696-3550,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Katie,The Vile Village,22-Jan-04,""The Vile Village is the seventh book of A Series of Unfortunate Events. This is a great book. If you have read any of the Series of Unfortunate Events I think you will like this book. The books are about three orphans named Violet, Klaus, and Sunny. Starting in the fifth book they have been trying to find out the true secret of V.F.D. Violet is an inventor, Klaus does the researching, and Sunny likes to bite stuff. In each book they go to a different guardian. If you don't have this book buy it now. The reason I like these books is because they keep you interested and are really exciting when the orphans are trying to get away from Count Olaf."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||||||||
"1556765667-3418,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brett Benner,Who Knew Misery Could Be So Much Fun?,17-Oct-01,""The seventh book of despair and woe that has developed a cult like following, finds Mr Poe at wits end as to what to do with Violet,Klaus, and Sunny. It seems no relative wants to take them in because of the great bad luck they bring with them. So he sends them off to a village of their choosing. A village because according to wisdom that Mr Poe has heard, """"It takes a village to raise a child"""". The village the children choose holds special interest to them because it's called V.F.D. The initials the Quagmire triplets had told them held great significance..."||||||||||||||||||
"What follows is disaster upon disaster, told with only the wickedest humor that Lemony Snicket can employ. I'm finding the last three books or so have been even more enjoyable than the first. And the clues keep mounting up, to the secrets behind V.F.D., and the evil Count Olaf."",5.0 out of 5 stars,,"||||||||||||||||||
1556765696-3545|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Paula L. Craig|When rules run amok|27-Nov-05|This book of course continues the nasty story of the Baudelaires.  It is also a wicked satire on contemporary local government.  The villagers of V.F.D. spend their time making up absurd rules and complaining that the Baudelaires and Hector the handyman aren't cleaning up after them properly. The villagers are eager to burn anyone at the stake at the slightest excuse.  This book is less formulaic and more exciting than some of the previous books of the series.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews||||||||||
1556765702-3574|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kaylee|awesome|24-Nov-14|This book was thrill packed. Couldn't put it down AWESOMENESS AMAZING BESTEST BOOK EVERRRR read this amazing bestsst book ever|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||||||||
