web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href
1556763610-72|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Maddie May Fuentes|Five Stars|27-Jan-16|great product, great seller, happy to purchase with them again and great item :) Happy customer|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews
1556763747-698|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|A great bad beginning|5-Apr-02|a wonderful book about 3 orphans violet,sunny,and klause whos parents die in a fire,from there on things only get worse they get sent to live with the greedy count olaf,who is after their fortune,with the help of count olafs weird friends they go after the fortune by..making a play?have they totaly misundersttood count olaf?is he really not after their fortune?find out.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&filterByStar=five_star&pageNumber=70&reviewerType=all_reviews
1556763730-616|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|series of unfornate events|3-Apr-17|"my favortive book . reading this book series all thought yhe summer.!!! ?  read this book pease .book two four five six seven and eight i read . these is a great series .

so read it ."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&filterByStar=five_star&pageNumber=62&reviewerType=all_reviews
1556763637-196|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Megan M. Doran|Five Stars|24-Oct-17|Great book for adults and children!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews
1556763739-657|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|T Mossman|No Middle Ground|17-Jun-04|You're either going to love it, or hate it!  I love it.  The word definitions that some adults have mentioned as annoying?  They're fabulous for increasing a child's vocabulary.  Also a plus -- inspiring compassion and anticipation in the minds of the children rooting for the Baudelaire orphans.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&filterByStar=five_star&pageNumber=66&reviewerType=all_reviews
1556763714-546|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ethel Sanchez|A Series Of The Unfortunate; The Bad Beginning|27-Oct-02|"I give this book five stars  because:
1.It makes you want to keep reading
2.Its humorous
3.Its entertaining and interesting to read
4.The author has a great sense of humor
5.The author uses descriptive words
  Violet, Sunny and Klaus Baudelaire are three very unlucky children. When their parents perished in a fire, they thought life couldn't get any worse. They were wrong. When the three children are sent to live with a distant relative, they had hoped their luck was about to change for the better. Unfortunately, they had reckoned without Count Olaf and his diabolically fiendish scheme to steal the children's inheritance.
  The Series of Unfortunate Events are books that are very different to the typical image of children's literature. As the narrator says, ""There is no happy ending, there is no happy beginning and there are very few happy things in the middle."" The author uses a great sense of humor and depending on how you focus upon the book, it can either be depressing or very funny. I personally found it very good and interesting to read. Even though some of the things that happen to the three orphans are just plain awful, it still makes me want to read more and more.
The characters are both entertaining. Count Olaf is dangerously evil. The Baudelaires are intelligent, clever, resourceful children who enjoying reading and inventing. No matter what happens, they will always find some solution to their problems, even though more bad things are just around the corner.
  This book is really fun to read and very interesting. I recommend this book to all kids of all ages. Whoever reads this book will enjoy it and when they start reading it, I bet they wouldn't want to put it down."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&filterByStar=five_star&pageNumber=55&reviewerType=all_reviews
1556763756-734|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jennifer Tyler|a great read|26-Jul-12|this book was great the author put his own thougts and voice into the story this book was one of the books i have ever read because it is different most books have happy endings which i think are boring because most books have happy endings this book left me wanting more like agreat book should|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_74?ie=UTF8&filterByStar=five_star&pageNumber=74&reviewerType=all_reviews
1556763677-380|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|TMD|Fun Read|30-Dec-10|I read this book as an adult and loved it.  It may be a bit scary for younger kids.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&filterByStar=five_star&pageNumber=38&reviewerType=all_reviews
1556763601-35|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|kbridge6|Great adventure for kids of all ages|19-Dec-13|I first read this series as a teenager in high school and didn't stop reading until I had finished the entire series. Re-reading it now, I still enjoy it. I love the contrasts of the writing; how the author writes so darkly but hopefully about the adventures of the Baudelaire children. I also like how the author explains strange or unusual words using the current situations the children are in. I highly recommend this book and the entire series for junior high to high school aged children although everyone who enjoys a good adventure will like these books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews
1556763725-598|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Janet Figueroa|Something for Every Child|18-Nov-04|"My 9-year-old daughter and I thoroughly enjoyed Lemony Snicket's ""The Bad Beginning"". My daughter, who has ADD, had great difficulty finding chapter books that captured and held her attention. As much as she enjoyed the Harry Potter movies, she could not focus long enough to read the books.

When we started ""The Bad Beginning,"" she couldn't stop reading! The Baudelaire orphans each had a quality that interested her. Violet loves to invent and is fascinated by how things work. Klaus is a natural sleuth: an avid researcher and detective in his own right. And Baby Sunny is so infectiously wonderful. She bites, but only the bad guys!

I recommend these books to children and adults alike. We flew through this one and couldn't wait to start ""The Reptile Room""!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=five_star&pageNumber=60&reviewerType=all_reviews
1556763614-100|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Masumi|Easy to read.|12-Jan-13|I was looking forward to read. I tried the movie first and liked it very much. These three kids are all super smart. I can't wait to try the next book and see what would happen in the end. Also, I wish they make the movie's sequel.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews
1556763730-612|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amelie|The Bad Beginning to an awesome series|28-Jan-04|"The aweful, terrible, horrendous, and just plain bad beginning of this series could not get any better!  The tale is a mockery of all those sickeningly sweet childrens tales.  Everything in the story goes wrong, everyhting that can go wrong does.  With the confert of the children always sticking together.  The three children's parent's die, and they have to go through ""bad guys"" who watch over then and who want to seal their fortune.  This is a wtory for older children who are tired of happy happy happy stories.  Children who take things copletely seriously and are very worried about the cildren wouldn't liek this book, but might when they are older.  I would recomend this book for anyone over 8.  And that's all folks!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&filterByStar=five_star&pageNumber=62&reviewerType=all_reviews
1556763621-127|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Andrea|Amazing|30-Mar-17|Best book I have ever read I definitely will recommend this book! Lemony snicket is pure genius! This is a must read book!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews
1556763710-522|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|cHaRLeNE rAMaN|The Bad Beginning|27-May-02|"Do you like to read books that end with ""happily ever after"" or ""and they road off into the sunset never to return""? Well, if so, you may be better off reading another book, as the author put on the first page. Why, probably because this book has neither a happy beginning nor ending. Misfortune starts to lurk the three Baudelaire children from chapter one when they're told by Mr. Poe, while at Briny Beach, the news of their parent's death. Sadly, for the children Violet, Klaus, and Sunny, their mansion also perished. The Baudelaire children, with no other place to go, lived with Mr. Poe and his family. However, they moved again when Mr. Poe, following Mr. and Mrs. Baudelaire's wills, found them another place to live at their relative, Count Olaf's, house. Violet, Klaus, and Sunny begin to cheer up considering that they have a new place to live without Mr. Poe's irritable sons, Edgar and Albert. Plus, their neighbor, Justice Strauss, has an amazing library and is very pleasant. Though, despair and tragedy still lurk at their heels as they start to suspect Count Olaf when they uncover his plot to steal their fortune. Will Violet, Klaus, and Sunny be able to stop him? Before you decide, remember that the book is truly unpleasant and defiantly does not have a happy ending.
My favorite parts of The Bad Beginning are when the Baudelaire siblings encounter Count Olaf's theater troupe. I like these certain parts because the troupe is so evil and vile, including Olaf. The actors are so rigid and are masterminds when it comes to being deceitful. The hook-handed man is my favorite. When the author described his character and even his tone of voice when he and Violet met on top of the tower it sent shivers down my spine. I knew that I would never want cross his path and get him upset. I wouldn't know what to do if I was one of the Baudelaire siblings and I raised his temper.
Again, like others, I liked this book because it didn't end with ""happily ever after"" or with a puppet turning into a real boy. This book was a change for me, since the disaster that haunted the orphans didn't seem to vanish. Though, I don't think it totally surpassed Harry Potter because I like to read about magic and the fairy tale, princess life. However, both books seem to not acquire a happy ending and have intense cliffhangers, but I'm still in the Harry Potter favor because Harry still seems to have fun and is not continuously depressed while attending Hogwarts. Though, if you like to read short books and aren't into the magic craze I'm sure you'll enjoy The Series of Unfortunate Events."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=five_star&pageNumber=53&reviewerType=all_reviews
1556763655-275|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|kimberly nixon|Family reading with older child.|3-Feb-13|Great book to read with my 9 year old. We were fond of the movie and now we are excited to see the difference between the two.  On to the next book...|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&filterByStar=five_star&pageNumber=28&reviewerType=all_reviews
1556763653-266|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|hm|amazing|9-Nov-14|Such A good series I just had to read it again. What happens to these children is a despicable thing...|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=five_star&pageNumber=27&reviewerType=all_reviews
1556763734-632|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Radella|The First of a Saga of Hilarious Events|28-Jul-01|Though the mood of the books is dark and dreary, Snicket's witty, clever style brings light upon the subject. While the sett and cast of characters seem unreal at times, it just adds to the laugh-out-loud air of the book and it successors in the series. In this tale, orphans Violet, Klaus and Sunny Baudelaire are sent to live with their cruel uncle who is after their fortune and attempts to get it by marring the preteen Violet. Snicket will keep you laughing until you get your hands on the next book in the series...an excellent book!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&filterByStar=five_star&pageNumber=64&reviewerType=all_reviews
1556763710-528|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Mr B.'s Class|Evil lurks on every page|8-Apr-05|How would you feel if both your parents died in a terrible fire? Well that's what happened to Violet,Klaus,and Sunny Baudilaire. But their parents left behind an enormus fortune that when Violet becomes of age the children will get the fortune. First they gko to Count Olaf's house one of their distant relatives. All Count Olaf wants is the fortune. Count Olaf has troupes, his troupes are abald man, two powdered faced women, the hook handed man, and aperson who looked like neither man nor woman. While at Count Olaf's house they are treated like dirt.At the end Count Olaf forces Violet and Klaus to be in a play. Bukt you have to read the book to find out what happens. Don't forget to read the rest of the series. Will they get a nice gardian or not? Will Count Olaf be there or not?|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=five_star&pageNumber=53&reviewerType=all_reviews
1556763661-303|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|beautylush|So interesting|18-Jan-13|This book is a master piece ,I love the way you express the book. This book is SO interesting sincierally,leila(lay luh)|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews
1556763599-22|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|smd|This book is not meant to be taken seriously|21-Jan-01|My sons (ages 11 and 9)loved this book.  I read it aloud to my youngest and the oldest wanted to listen.  We're now 3/4 of the way through the second book, and they love it just as much.  Why?  Because they know it's not meant to be taken seriously. I find it amusing that one reviewer here who was seeking something for her child between Harry Potter books was outraged that Klaus is struck by Count Olaf.  That doesn't seem nearly as disturbing as when one of the Harry Potter characters cuts off his own hand and slits Harry's after a teen is murdered in the last Potter book. Although the children in The Bad Beginning get into dire circumstances, this book has an unmistakable sense of humor and is more along the lines of the unfortunate childhoods in all of Dickens's novels.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews
1556763754-724|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|A 10-year old reader|What a good life I live!|13-Aug-01|This book is hilarious and keeps you reading.  The fact that the Baudelaire children have nothing good in their lives makes you glad you're not them!  Count Olaf is such an evil, cruel guy who only wants money and power. He tries to trick the Baudelaire orphans into giving him their fortune....I would recommend this book to kids who like funny and intereting books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_73?ie=UTF8&filterByStar=five_star&pageNumber=73&reviewerType=all_reviews
1556763741-665|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|reetsmail|Grim and Fantastic|29-Dec-01|A Bad Beginning, and all the books in the series, are wonderful. The mix of the grim and ridiculous make for some of the funniest books we've read in a long time. My daughter (aged 9) loves to tell her friends--and strangers-- all about the books, and has been responsible for at least 8 Lemony Snicket converts. My only complaint is that I have to wait for her to finish a book before I get to read it. She reads them on her own time as treat to herself (as opposed to a school assignment or the result of parental nagging) and can often be heard laughting outloud.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=five_star&pageNumber=67&reviewerType=all_reviews
1556763679-390|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|xiaotongchen|Five Stars|14-Jan-15|good|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&filterByStar=five_star&pageNumber=39&reviewerType=all_reviews
1556763765-779|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|aidan the skylander master|Aidan|6-Mar-13|Me and one of my friends love your books. She has drawn every title picture on all of your books from book one to the last one|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&filterByStar=five_star&pageNumber=78&reviewerType=all_reviews
1556763642-215|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|halle katz|A good book i recomend|15-Apr-13|I think this book was very good.it kept me scared about the characters and inever wanted to stop reading so if you like book that are sad in the beginning and at the end is full of mystery than thus book is a book for you!!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews
1556763597-16|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Stacy|For young and old|14-Oct-18|I liked this as an easy half hour read on an airplane. Great movie and the book is even better. I love how the writer changes up from narrating to speaking to the reader. It was unexpected. I would recommend this to younger readers and adults as well. Especially if they want a small escape from reality.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews
1556763659-293|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|alexandra pucel|Fast Delivery No Problems|28-Jan-14|Received book quickly and was in good shape! No problems highly recommend! I recommend these books to anyone of any age|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&filterByStar=five_star&pageNumber=30&reviewerType=all_reviews
1556763758-747|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Vivian/belieber!!:)|MOST AWESOME BOOK EVER!!!!|11-Dec-11|ILove this book i read it in my language arts class and we all loved it. it was kind of funny,[ not the part where the parents unfortunately died or when Count Olaf slapped Klaus ] but really an awesome book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&filterByStar=five_star&pageNumber=75&reviewerType=all_reviews
1556763675-365|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jacob Potter|Great|28-Dec-12|Very good book. It's very good for kids. It is long but very good. I recommend it. Again, awesome book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&filterByStar=five_star&pageNumber=37&reviewerType=all_reviews
1556763763-765|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|These books are great!|9-Jan-10|I have read all of the series of unfortunate events books 4 times now and I am on book 6 for the 5th time! I love these books and they are great fun to read over and over again! Lemony Snicket is a brilliant writer.A great buy!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&filterByStar=five_star&pageNumber=77&reviewerType=all_reviews
1556763666-322|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|dale kositzky|Best book ever!|1-Oct-13|Violet is so so clever I love how see signed with her left hand rather than her right hand awesome|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&filterByStar=five_star&pageNumber=33&reviewerType=all_reviews
1556763690-436|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|R, your friendly neighborhood reviewer|Finally, a book you dont feel pressured to read, but you do!|14-Sep-04|"In the first book in the Series of Unfortunate Events, we meet the Baudelaires, who seemed to be followed by trouble after they're parents are killed in a fire.  They are then placed in the hands of the villian, Count Olaf, who is constantly trying to get his hands on the fortune the Baudelaire parents left behind.  Read about the elaborate plan that Olaf has cooked up in this installment of the series.  I feel that I must describe each charater since this is the first book.

Violet Baudelaire- the eldest Baudelaire-I beleive 14 in this book- who is quiet possibly the best inventor in her age group ever.

Klaus Baudelaire- the middle Baudelaire and a great researcher and bookworm.

Sunny Baudelaire- The youngest of the Baudelaires(a toddler) who has four very large teeth that enjoy to bite.

Count Olaf- the criminal and actor who, along with his theater troupe, terrorize the Baudelaires throughout the seies.  He seems to have an unhealthy interest in eyes. Are they even eyes? Hmm...

Mr. Poe- Th banker in charge of the orphans affairs.  He is always in need of a tissue.

If you think the kindly judge next door is going to save the orphans and live happily ever after you are wrong. In fact, no adult helps the orphans at all in the series so far."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&filterByStar=five_star&pageNumber=44&reviewerType=all_reviews
1556763677-377|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|lauren  woodward|Awesome|18-Jan-13|One of the best books I have ever read. So so so do so so so so so do good.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&filterByStar=five_star&pageNumber=38&reviewerType=all_reviews
1556763657-287|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|love it!!!|Amazing|18-Feb-13|Kept me on my toes a really exciting book. I loved it cause there were so many things you weren't expecting|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&filterByStar=five_star&pageNumber=29&reviewerType=all_reviews
