web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||
1556766652-4991|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Thomas Kim|Five Stars|19-Jan-16|LOVE IT!!!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||||
"1556766684-5117,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Aaron Felker,The end of the end of the End is more of a beginning...,16-Oct-06,""All I can say is...WOW!!!  I loved the book.  I read that many people complain because they say that so many mysteries remain unclear, but the more I think about it, the more I like the fact that you are left to ponder these things.  You'll be near tears by the penultimate chapter.  It almost seems that this is more of a beginning than an end.  To that I say this: YES!!!!  I'm am quite sure we have not seen the end of Snicket.  Personally, I would enjoy seeing a series that takes place before ASOUE, so we may learn of the interworkings of VFD and the schism.  Overall, a great read.  So sad that it's over!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews"|||||||||||||
"1556766684-5112,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,SC_Sam,The End is Not the End.,7-Apr-12,""At the beggining of The End Violet,Klaus,and Sunny find a young girl named, Friday who tells Count Olaf to never come near the colony.The Baudelaires meet Ishmael who is pretending his feet need medical attention when his feet are fine. Colonists say that Ishmael is the root of trouble but after the schism the colonists insist to abandon the Baudelaire orphans.Ishmael shoots a harpoon at Count Olaf releasing the Medusoid Mycelium.Luckily the Baudlaires find hoseradish apples repleneshing the deadly fungus just in time to help Kit Snicket with her baby.Unfortunatly Kit dies when her baby is born and she tells them to name her baby after one of their parents (Betrand and Beatrice).Count Olaf dies because of the Medusoid Mycelium and the colony leaves the island to a horseradish factory on Lousy Lane.Finnaly the Baudlaires name the baby Beatrice after their mother,and sailed away in the boat that brought them to the island with Sunny translating Beatrice's words to Violet and Klaus."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews"|||||||||||||
"1556766675-5075,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Andree 215,A Quicker End,15-Nov-07,""Violet, Klaus, and Sunny Bauldelaire are orphans who are given a huge fortune left behind by their parents who died in a fire that burned down their house.  Now stranded on an island with only castaways the Bauldelaires must get use to the islands customs of their new home if they want to stay.  And staying won't be easy with the tricky Count Olaf ,whose disguises has gotten the orphans over there heads at every home they've had, on the loose."|||||||||||||
|||||||||||||
 The leader of the island| Ish | is a respected elder among the castaways.  When he recommends something the castaways surely do it.  This is because of his recommended cocoanut milk which is the only supply of water accustomed to the castaways.  The cocoanut milk makes the people drowsy and lazy and they listen better because of it.|||||||||||
|||||||||||||
" I recommend this book to all who have read the other 12 Series of Unfortunate Events books.  If you read this book first you won't understand this book at important parts of it.  This series has become my favorite series and this book is my favorite book in the series.  This book has everything: comedy, action, pregnant guys, large snakes, deadly diseases, sore feet, and what everyone wants in a book books! This book isn't like others because it has things people might find funny but also has some sad moments in it making it a book I and many others can't and won't put down."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||
1556766666-5047|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|cynthia allen|Finished my collection|23-Jan-13|I love all the books for 1 all the way to 13 this is very great reading had a hard time putting it down|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews|||||
"1556766677-5087,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,C. Staff,Review by Emily,4-Jan-07,""The End is about three siblings, Violet (eldest,) Klaus (middle,) and Sunny Baudelaire (youngest,) who has faced a life of misery.  They were in a ship, traveling with their arch enemy, Count Olaf, who you could have considered as kidnaping the Baudelaires.  They faced a terrible storm and became ship wrecked.  The island was the place that they thought was the last safe place.  For a while..."|||||||||||||
|||||||||||||
 The book is full of excitement and misery.  It's really interesting.  You really have to look close in each page and find all the clues.  The whole think is a mystery to another.  Try and solve the mystery first before the story ends.  I always do that.  In this one in particularly| at the end it stops so suddenly you think| Give me more!  And yet if you read closely you would slowly understand how everything now ties together and many questions that you had in the other books in the series have disappeared.|||||||||||
|||||||||||||
 The books suspense catches you and Lemony Snicket's warning in the first few pages in all the Events books always catches my attention.  He always warns you to drop the book if you do not want a miserable ending book and go pick something else| like...In my opinion| Dr. Seuss and his happy| cheerful stories.  No these books have barely any good news and if good news came along| soon something bad would happen.  There are barely any happy endings too.  Though many people enjoy happy and not sad endings| anyone would probably like this.  Like me| I usually read happy endings| like anyone else does| but I read this and I wanted more.  It's just really exiting with all the misery and suspense.  I mean| it's a story about three orphans on the run from the law| misery and villains.  The thing I love the most is that Lemony Snicket has related this to him (though Lemony Snicket isn't his real name and this story is fictional) I just love the parts like Kit Snicket as his sister and Jacques Snicket as his brother and Kit's child named after a person Lemony Snicket has loved.  It all ties together in the end.|||
|||||||||||||
" Really, if you like suspense and misery you have got to read this book.  This book is one of the best I've read.  It's really interesting and so full of clues.  It's just such an enjoyment for me and I'm sure it's true for others too.  Try a new type of book for once.  It might feel good once in a while, I'd say."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"|||||||||||||
"1556766677-5091,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Parm,Good book,28-Aug-17,""For people asking, VFD stands for Volunteer Fire Department. It is revealed later on in the prequel series that revolves more around Snicket's life. The book did leave a lot of questions but the series was very entertaining."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"|||||||||||||
"1556766682-5110,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Circe,Fond of Ink,28-Oct-06,""If you've read the reviews of some of the more dissatisfied readers, then I'm sure you know that not all answers are revealed in The End.  But since when has this series left things all tied up in a nice and neat little package for us?  It is far more likely to leave things hanging, precarious and uncertain, and so The End ends in much the same way.  Things are left uncertain and most questions go unanswered.  The Baudelaires know that """"...you can't read every story, and answer every question..."""" (p. 218, The End).  Questions lead to more questions, not always answers, and there are stories within stories, a theme often repeated in the book and true to life.  However, it is also true that you get some answers you weren't expecting to questions you never thought of."|||||||||||||
|||||||||||||
I wasn't disappointed at the lack of some answers.  After all| if everything was solved| it would truly be over.  This way you can speculate| have discussions or arguments about who did what to whom| or write your own answers.|||||||||
|||||||||||||
"  The End is a brilliant finish to a series that is not only unusual for its storylines, but also in its managing to stay captivating while maintaining the spirit of the first book through twelve others with Snicket's trademarks of dazzling wordplay, unexpected humor, and unfortunate events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
1556766650-4981|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Aleta French|Five Stars|26-Jan-16|Great book!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||
1556766657-5008|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Seashells|Five Stars|31-Aug-17|My daughter loves this series!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews|||||
"1556766693-5155,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kathleen H. Westwood,""Great book, came in plenty of time for my purposes"",6-Jan-09,""This book came well within the time frame specified, in plenty of time for me to wrap and send out as a requested Christmas gift.  It was in good shape and didn't smell, as some books have that I have purchased from others.  The packaging was appropriate for the product and it arrived non damaged.  Thanks for a great purchase!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"|||||||||||||
1556766699-5188|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1||||||null|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=five_star&pageNumber=26&reviewerType=all_reviews|||||
"1556766677-5084,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Melanie Edwards,and so it ends,3-Nov-06,""after seven years, twelve books, 170 chapters, and a great deal of headache, the final book of A Series Of Unfortunate Events has finally arrived. picking up exactly were the twelth left off, we find the Baudalairs survive a horrific storm and wash ashore on a island full of people who are all lead by a mysterious man who may hold the answer to everything. i cannot reveal anymore for it may ruin the book. if your excpecting a simple answer to everything, then your wrong. Snicket provides us with importent answers to some very unresolved mysteries but he leaves a whole bunch of plot endings fluttering in the wind. it may seem like a dissapoinment to some but to me it makes sense. you see, nothing in this world is ever answered straightly, you have to look hard enough in order to solve it all and in this shady world that Lemony Snicket has created, you definently have to look hard enough. overall, we may never learn of all the questions that this series has left us but i will say this. the series has really gotten to me and will forever be one of the most interseting and absorbent. now, i just have to reread everything, look for the clues, dab into peoples lives and maybe, just maybe, i may find the answers i am looking for and finally i and even you can close the final chapter on this series for good, with the answers in your lap and the shroud of mystery from these unfortunate events finally lifted."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"|||||||||||||
"1556766682-5108,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ron D.,A Heartfelt End,19-Oct-06,""Well, I had predicted to my children that the end of The End would not be a clean ending, and certainly not a completely happy ending.  I had read interviews with the author in which he said he was often approached at signings by children who had various personal difficulties and identified with the Baudelaires in their search for meaning and for something better, something he had not really anticipated and which he took to heart.  So the message of The End, I think, is really a message to the children who confided in Handler and to others in similar situations--that bad things happen, and sometimes there are no clear answers to why they happen and no way to undo them, but we have to continue to try to overcome our situations anyway and appreciate the good things that do happen.  The allusion to Genesis reminds us that trying to explain why bad things happen is as old as humanity.  If you approach the book in this way, Handler did a remarkable, even heroic, job."|||||||||||||
|||||||||||||
"By the way, I believe the poster in The Beatrice Letters shows a scene after the end of the End, which that text describes in a somewhat vague manner.  The whisk in the poster is one way to date the picture.  Apparently the baby has some talent with bats.  Finally, the use of """"brae"""" and the multiple meanings of """"bear"""" in The End tie into The Beatrice Letters as well.  For such a short (albeit expensive) book, The Beatrice Letters provides a good number of clues."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
"1556766675-5080,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,vorpal^,A (mostly) brilliant ending!,19-Oct-06,""I'm surprised by the number of negative reviews of this book. I scanned them briefly before starting it and figured that I was in for some disappointment. I couldn't have been more wrong."|||||||||||||
|||||||||||||
"While I will admit that Handler's usual use of puns, anagrams, word definitions, etc. wasn't quite as prevalent in this book (unfortunate, as it didn't quite feel like his writing style without them), there were some moments that were incredibly laugh-out-loud funny. The snake bringing the apple out of the tree to the orphans? Brilliant. The fact that Handler picked the native animals of the island to be a herd of sheep was also very fitting and perhaps a reference that some people might have missed. The fact that the large sea shape ended up being called the Great Unknown was hilarious, and the """"About the Author"""" where at first glance, one suspects they've finally seen Snicket is brilliant."|||||||||||||
|||||||||||||
Furthermore| while this book remained fantastical in the sense that the world was somewhat absurd| the general ideas were true to life: many of the major and very important mysteries were addressed and answered| but some still remained. When in life are all our questions ever fully and satisfactorily addressed? For those who missed it| the sugar bowl issue was wrapped up in the Penultimate Peril| where the taxi driver that offered to save the Baudelaires after the death of Dewey Denouement had it on the seat next to him in the cab| thus whisking it out of their lives and on to new adventures. The meaning of V.F.D.| while given to us in the Slippery Slope| is confirmed. The questions opened up by the Beatrice Letters (which should probably be read before this book) were all adequately answered.|||||
|||||||||||||
"All in all, I think that this was the perfect and appropriate ending to the series: I was worried from the cover that the end of the end would be horribly filled with misfortune, which ended up not being the case at all. Certainly, the end wasn't positive, but a positive ending would have been a huge disappointment. Instead, everything was left open-ended, which is exactly how life works and exactly how the series should have cocnluded."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||
1556766666-5050|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Will Schackman|A great finish|1-Mar-13|A pretty good finish but I didn't learn all the secrets who was Ishmael and what ever happened to count olafs associates|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews|||||
"1556766641-4937,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,K S,Great series,27-Jan-19,""Awesome book, fantastic series"",5.0 out of 5 stars,,"|||||||||||||
"1556766693-5152,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,The Saxon,Applause for the Lemony Snicket Series,6-Jul-07,""This purchase completed the set of """"A Series of Unfortunate Events"""" that I have been giving my eldest granddaughter on her birthday and at Christmas for several years.  She has enjoyed each book immensely.  I'm sure they will become treasured family heirlooms to pass through generations."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"|||||||||||||
"1556766695-5168,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Leslie L. Brown,The End,5-Jan-07,""I hated to see the series end, but the book was great.  It tied up some loose ends and left me with a few more questions!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=five_star&pageNumber=24&reviewerType=all_reviews"|||||||||||||
1556766655-4998|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Chloé|best of alll of the series|29-Mar-13|I love this book so much !!  The series is so great once I got the first book I was hook . I love they way lemony snickt writes . I recommend this book for 3rd grade and up . This book was super great .|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||
"1556766686-5124,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Grant Delia,New favorite series,21-Dec-13,""I have been reading this book series go  th  past 4 years, and I loved every single chapter of every single book. Lemony Snicker is an amazing writer, and this series is easily my favorite series I have read and probably ever will read. The series left me in suspense with every word, and I could not stop reading. The final book of the gas was exquisite, and if you have read Snicker's whole series, it can be summed up as nothing but 5 stars."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews"|||||||||||||
1556766666-5043|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kindle Customer|Awsome|10-Jan-14|I read the whole series and it is a great mystery! I hope h makes a sequel. you must read this book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews|||||
1556766699-5182|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Michael Pickart|great|9-Dec-18|great|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=five_star&pageNumber=26&reviewerType=all_reviews|||||
1556766652-4985|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sparkie|Great|5-Nov-13|Love it. this is what she wanted for Xmas so I am looking forward to giving it to her among other things.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||||
1556766693-5153|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Strengthf2f|Good|2-Jul-13|I really like this book because it is sad and happy. My favorite character is violet because she can invent things that can help them.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews|||||
1556766655-4997|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sam|Great|2-Mar-13|I've read the whole series and this is one  of the better ones. You should really read this series but you have to read the rest of them in order to read this one.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||
"1556766643-4951,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,MissPoovey,""The End, unfortunately."",9-Jan-07,""A thrilling end to a wonderful saga!  The Baudelaires' story made a great teaching tool for my children.  We read all 13 books together and also"|||||||||||||
|||||||||||||
"rented the audio books from the library for review.  This author requires you to remember details about previous books to understand the current one you are reading.  It's also a great read just for fun, but I highly recommend you read ALL of them."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"|||||||||||||
"1556766657-5011,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,KDS,The End,16-Jul-13,""I have finally finished reading all the unfortunate events in the Baudelaire' s story. Lemony Snicket is such an amazing writer. I never wanted it to reach The End. I will admit it was sadder than I thought. There were deaths and the beginning of more unfortunate events but there were happy futures that began. I will, of course, move on to other books and series' but I will never forget Lemony Snicket, the Baudelaire orphans and a Series Of Unfortunate Events that made up some very memorable stories that will stay with me forever."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"|||||||||||||
1556766671-5063|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jordan Luff|Five Stars|13-Dec-14|Arrived on time and just as described! Thank you!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews|||||
1556766648-4970|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|wahidstx|Five Stars|3-Jul-16|Kids love this book.  Seller delivered the book on time.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||||
"1556766682-5111,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Dawnrider2054,Who is Lemony Snicket?,25-Mar-07,""I actually read this series through twice, once to my older child (less book 13) then again to my younger child (including book 13)."|||||||||||||
|||||||||||||
"Book 13 had a different feel than the other books.  There's some point about good and evil/ right and wrong which the author is developing throughout the series.  In the first books it seem pretty cut and dried but beginning Book 10, or perhaps Book 9, it becomes more nuanced, until by the end of Book 13 you are wondering who did burn down the Baudelaire's home?  Perhaps Lemony Snicket?  I found Book 13 quite thought provoking, although I don't think my kids did."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
1556766655-5001|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Alyssia Brisch|Gucci boi|14-Mar-19|Amaze|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||
1556766664-5039|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Brandon Beck|The end|19-Jun-13|Best book ever thank you lemony snicker I have finally finished the series and the ending was not unfortunate but happy|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews|||||
"1556766666-5046,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,The Edwards,AWESOME,4-Jan-13,""I LOVE THIS SEREIES!!!"|||||||||||||
"I read this series when I feel down and it cheers me up. It is so sad but happy. COUNT OLAF FINALLY DIES!!!!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||||
"1556766697-5178,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Pamela K. Roberts,""A Series of Unfortunate Events, Book 13"",18-May-09,""Was a great ending to a very long, confusing and sometimes really boring story. Good luck getting thru this series."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=five_star&pageNumber=25&reviewerType=all_reviews"|||||||||||||
