web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||
1556764732-1509|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tabitha|Five Stars|30-Jul-18|My son loved this book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews||
1556764735-1519|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|doodle|my kid ASKS to read i am supportive|16-Jul-14|my son asked if he could get this series of books. Any time my kid ASKS to read i am supportive. so i bought this book. he  devoured the book in two days and asked for more. cant beat that i give this an i love you book !|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||
1556764750-1588|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Laura Boat|Loved|15-Oct-13|I loved this book. I thought it was Beaty interesting and I look forward to reading the rest of the series (like I never do).|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews||
"1556764764-1647,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,The Accidental Reader,Snicket's the Ticket!,15-Jun-02,""If like myself, you would like to create a young book vaccuum in your home, get the Wide Window! Lay it about, and you may catch some little hands grabbing it up and some little eyes scanning it--- the whole thing! Caricatures here include grammar fanatic Aunt Josephine, whose fear of the oven causes her to serve nothing but cold cucumber soup in the dead of winter. Baby Sunny is back, complete with hilarious subtitles. (""""by Toi !, she probably meant 'I have never eaten a peppermint, because I suspect that I, like my siblings, am allergic to them' """".) Count Olaf returns, albeit in a transparent disguise, which Snicket reminds us does not mean wrapped in plastic, or covered with glass. Snicket's liberal use of vocabulary (futile, dowager, Lachrymose, concoction, surreptiously) and his explanations thereof, makes this entire series a winner with this parent. And my young reader likes it too!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764737-1532|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ruann|Five Stars|6-Jun-16|got this for my granddaughter she loved the book it shipped fast|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||
"1556764770-1677,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Lemony Snicket,""Careful,  don't hurt yourself reading this review."",25-Sep-04,""Of the 11 books released so far, this is still one of my favorites.  Aunt Josephine becomes thier new cartaker.  She is very cautios and does not like taking risks.  She is also obsessed with grammer.  She also left the Baudelairs a coded message dealing with grammer mistakes.  This leads to the triying to save her.  However, I will not reveal wether they were successful or not."||||||||||
||||||||||
"Thank-you for taking the time to read my review.  Please rate wether it was helpful or not.  Remember, to make the series more enjoyable you should read theese books in order.  Thanks!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews"||||||||||
1556764746-1575|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Marie Jo|Five Stars|29-Aug-15|Great!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||
"1556764762-1638,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,GPH,Beware the World Beyond the Wide Window,27-Nov-03,""After a fatal event at Uncle Monty's reptile house, Mr. Poe has, again, shifted the unlucky Baudelaire children to a new home. The three youngsters, 14 year old Violet, nearly 12 year old Klaus, and the infant Sunny, are being forced to start again. The children's new guardian, Aunt Josephine, owns a respectable house balanced on the edge of the cliff overlooking Lachrymose Lake. For such an unsafe place to station a house, as it seems the support beams cannot hold the heavy building much longer, Aunt Josephine is coincidentally the most cautious person on earth. She never turns the oven or stove on (She's afraid it'll burn down the house), never answers the phone (She doesn't want to be electrocuted), never turns on the radiator (It could explode), and she never dares to touch the doorknobs (They could shatter and hit her in the eye!). As if this wasn't unfortunate enough for the poor Baudelaire's, their new guardian has one love, and seemingly one love only. Grammar. Even infant Sunny doesn't fit with Josephine's rules, since Sunny can only say one-word phrases that can usually only be translated by her siblings. And Aunt Josephine gives the stern warning about the man-eating leeches of Lachrymose Lake. Grammar lessons, cold food, a cold house, and killer leeches just down below. Couldn't possibly get worse, right? Wrong! The Baudelaire's have barely had time to settle in before Count Olaf, their treacherous relative who is after their fortune, leaps in their path again. This time, he sneaks onto the scene as Captain Sham. But what is his plan this time? As a hurricane whirls nearer and nearer to the lake, the Baudelaire's hear a crash and run to the library, only to find the wide window looking out over Lachrymose Lake has been smashed. It seems Aunt Josephine has thrown herself out the window, leaving only a suicide letter...filled with grammatical errors? It doesn't seem like Aunt Josephine to do something like that. Did the Baudelaire's new guardian really kick the bucket, or is this the nastiest plan Count Olaf has hatched yet? The Baudelaire's are now in a race against time to find the truth or they will most definitely find themselves in Count Olaf's greedy hands. In this, one of the most exciting books of the series, keep an eye out for a business card with a mistake, dangerous peppermints, dark secrets, and a risky boat ride. Lemony Snicket makes this one of the most outstanding of the first three books in the series. The humor is more, the plot line has thickened, the escapes are close, and accidents always occur. And, of course, the grammar and definition is still there, even more so, now that Aunt Josephine comes into the story. Get ready for the most thrilling book yet, and beware the leeches. As long as you haven't eaten for an hour, you'll be safe."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"||||||||||
"1556764773-1688,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Rick Tange,Really good,29-Jun-13,""4 and a half stars. I really liked the book I did not love having to read the meaning of phrases."||||||||||
"I would Recommend this book to 10-11 year-olds and maybe some strong 9 year-olds.Overall I loved it"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews"||||||||||
"1556764773-1692,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Cupcake Lover,A Series of Unfortunate Events: Lemony Snicket,14-Dec-14,""A great book. Whatever the Baudelaire orphans are going through, I know how they feel and find myself in that setting too! I'm now on the 4th book. Hooray for lemony snicket!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews"||||||||||
"1556764764-1649,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,John Cassels,""Snicket's best, so far"",30-Mar-00,""As far as """"darkness"""" or """"inappropriateness"""" for youngsters goes, I tried reading *The Bad Beginning* to my 7-year-old a while ago and he begged off after one chapter, saying that it made him feel  too sad; but the other day he took it off the shelf and -- on his own -- is  now half-way through """"Book the Second"""" of this series, *The  Reptile Room.*  I'm happy to report that he has a real treat in store when  he turns to this volume of the Baudelaire orphan's adventures, for it is  easily the best of the lot.  Longer than either of its predecessors, it is  also more relaxed and assured  -- not that the pace is slack (far from it),  it's simply that Snicket is more at home with his bag of tricks and is  beginning to manipulate his deliberately limited, muted palette with a  master's verve.  Fearful, grammar-haunted Aunt Josephine is a wonderful,  painfully funny addition to the improbable constellation of distant  """"family"""" through which it is the Baudelaire's sad fate to pass,  and her second most notable quirk bears an interesting relationship to  Snicket's own frequent definitions of """"big words.""""  This last  feature seems to bother a lot of people, but I think these folks are trying  to bully something which is primarily an *aesthetic* device of great  flexibility into an overly-rigid pedagogical frame. These books aren't  nasty things which are -- like certain exilirs --nevertheless good for you,  they're wonderfully entertaining works of verbal art, and if one had to  troll their depths for messages, one would find, cumulatively, that these  have more to do with self-reliance and competence than with any of the  hideous treatment the Baudelaire's endure or the corpses that are left in  their wake."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764775-1704|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Redstone Guy|Yum...|15-May-14|Oh the book the book was fine but if you want a real treat try licking the pages yummy...  tastes good with chocolate and carmel...|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews||
"1556764748-1585,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,N. carrion,Another great addition to this Series!!,23-Jul-14,""Somehow authors makes the most horrific and traumatic experiences not too disturbing. Snicket's dry humor and unique writing style make the events easier to """"swallow""""."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"||||||||||
"1556764766-1661,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Carla Killetti,Have you lost the thrill?,28-Sep-01,""Are you sick of reading fairy stories that always end Happily Ever After? Wonder why villians try to take over the world when they must know they wont win? Here is a tale about three children who don't always win. Lots of twists, lots of fun."||||||||||
So far| number three is my favourite| numbers 1 and 2 set the scene| so in 3 there's more action and adventure. The books might seem repititive| but the writer is clever and funny| introducing new ideas with each book making the stories more complex and intriguing. A book adults will enjoy too!|||||
"These books make you love books! As twisted and funny as Roald Dahl and Edward Gorey, as spine tingling as Agatha Cristie!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"||||||||||
"1556764762-1640,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Oddsfish,One of My Favorite Children's Books--The Best of the Series,5-Jan-03,""In The Wide Window, the Baudelaire children once again are forced to go through horrid, desperate situations when they are sent to a new guardian, Aunt Josephine, who is too afraid of life to live it. Into the picture, of course, comes Count Olaf, and Aunt Josephine being too weak to save the Baudelaires, the three children have to depend on one another to try to get past his new scheme to end their lives and get their fortune."||||||||||
||||||||||
"There are just so many wonderful things about The Wide Window and this whole series. The book is so simple, but it also has so much to say about the nature of the world. Life isn't easy, and this series is brave enough to say that. But the novels also fight back against that pain-with Snicket's wry humor and with the familial love between the Baudelaire children. The Wide Window says so much that needs to be said, and I know that anytime I need to I can pick it up and know that I will be alright. There is always something to lean on."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"||||||||||
"1556764748-1577,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Sophia Ogden,Love Lemony Snicket,12-Dec-14,""I Love this book series! It's a very sad tale, but it's amazingly written. That's why I gave this amazing book and author 5 stars! ??"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"||||||||||
"1556764737-1527,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Dianna Wiegner,Good writing can be fun to read at any age!,6-Feb-18,""I love the Lemony Snicket book.  Although I buy them for my ten-year old, they are fun to read for me, too!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"||||||||||
1556764750-1594|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lulu S.|Children will love this series!|20-Aug-15|This author is great. My girls love listening to this story. I really captures the imagination of children. I watched the movie before I read books. The movie was very adult geared so I was nervous about the childrens books. They aren't creepy like the movie but really done tastefully and very child like. Great book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews||
"1556764770-1682,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Melanie Edwards,a another smart storie to the series,11-Oct-04,""with olaf at large and unle monty dead, the baudalairs are then sent to a misty lake to live with there distant fearful and grammer correcting Aunt joesphine. with only chilled cucumber soup and no power, things can't get wores? then olaf comes into view with another of his disguises this time captain shame. read this book it will have you begging for more."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews"||||||||||
"1556764768-1672,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brett Benner,Can It Get Any Worse?!,17-May-01,""The poor Baudelaire orphans. After the tragic demise of their Uncle Monty in """"The Reptile Room"""" the hapless trio are sent to live with their Aunt Josephine; A woman terrified of everything except grammer which she loves! It isn't long before a familiar villan shows up to cause more mayhem for Violet, Klaus, and Sunny.Darker and quite a bit more wicked than the preceding books, it's still very funny and alot of fun to read."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"||||||||||
1556764741-1551|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|teacher's wife|... was a gift for my granddaughter and she absolutely loved it!|4-Sep-14|This was a gift for my granddaughter and she absolutely loved it!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews||
1556764730-1505|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Great books|19-Apr-18|My daughter and I love these books.  Going to check out the Netflix series too!|5.0 out of 5 stars||||
1556764779-1716|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lisa Briggs|Five Stars|16-Oct-17|Great book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews||
1556764773-1693|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jill|Educational and excellent|1-Mar-17|I started the series as a teacher but am continuing to read or for enjoyment. Happy reading! (Even though there is nothing but misery)|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews||
1556764744-1557|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kindle Customer|Good|8-Dec-16|I like all the detail and peril included in the story. Lemony Snicket's books are amazing and well written. I recommend this story to everyone.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||
"1556764750-1595,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,McKenna Kallas,It didn't say what happened to aunt Josephine,1-Jan-13,""What the heck why didn't it say what happened to aunt Josephine in the first place the same thing happens to uncle Monty."||||||||||
||||||||||
":("",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"||||||||||
1556764755-1607|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Matthew Gibson|Amazing book|1-Feb-13|Awesome book one of best I've ever read it gets so interesting at every page about to read next book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews||
"1556764762-1641,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,J R Zullo,Aunt Josephine's fears,7-Jul-05,""What will happen to the Beaudelaires now? On the margins of Lake Lachrymose, they will find a new relative, the widow Aunt Josephine, a kind woman, but who is afraid of her own shadow. And Cout Olaf is still stalking the orphans. What will be his new disguise?"||||||||||
||||||||||
"From the house on the hill overlooking the Lake to the apotheotic ending amid a hurricane and murderous leeches, Lemony Snicket continues to tell his readers the fate of the Beaudelaires. """"The wide window"""" is better than the first two book in the series, although it lacks a new sympathetic character like Judge Strauss or Uncle Monty. The problem is, we still don't see any evolution or further development of the four main characters, the Beaudelaires and Count Olaf. As I stated in my """"The reptile room"""" review, I think that these first books are more like chapters in an introduction about the orphans."||||||||||
||||||||||
Let's keep reading to see what happens.||||||||||
||||||||||
"Grade 8.8/10"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"||||||||||
1556764755-1606|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tara Hoffman|Amazing|28-Jul-14|This book was out of this world. Lemony snicket is the best author I know. I just adore his books|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews||
"1556764777-1706,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,jojo,great book,14-May-15,""Loved the action parts and thought the ending was awesome, which kept me on the edge of my seat! Awesome book"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews"||||||||||
"1556764773-1689,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Adam,Adam's review for The Wide Window,11-Nov-01,""You're never going to know what is going to happen next in the book The Wide Window! In the book there are exciting and surprising things that make you jump out of your chair, and that make you want to read even further. This book is the third book in a series about three children named Violet, Klaus, and, Sunny. Their mom and dad died in a fire, now they are on their third adventure with Aunt Josephine."||||||||||
"  This is a really good book. I really like the series. I think that it is an adventure with lots of surprises. But if you think that this is a happy book, you should think again, because there are some bad things that happen to these children."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews"||||||||||
"1556764764-1646,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,JulieS,""Humorous, Entertaining, and Charming"",1-Sep-00,""After having read Daniel Handler's books, I learned from some casual web surfing about his pseudonym Lemony Snicket.  Having read just The Wide  Window, I would say that I now want to read the rest of the Lemony Snicket  books.  As an adult, I found this book charming and humorous.  The  Baudelaire orphans are amusing, particularly little Sunny of the  super-sharp teeth.  This book was not a long complicated read like Harry  Potter books, but it was full of great humor and some suspense.  I think  that this type of book would delight most children who enjoyed books with a  sly sense of humor.  As well there is an education value as this book uses  some """"vocabulary words"""" that kids might not know, but then  immediately defines these words.  After reading this one, I now want to go  out and get the whole series so far."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764775-1701|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|CHAD SCHATTE|Five Stars|15-Jan-18|cool|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews||
"1556764779-1723,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brittney,I like the book,23-Feb-18,""I like the book,and if you get the book you will to.Its alot of action and you've got 13 of them.The buldelaires house burned down and a mans after them.This book is perfect for people who like action"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"||||||||||
